219;-272;70;-41;-98;146;1
302;-329;70;-80;-259;357;1
154;-201;68;93;-270;185;1
136;-211;96;140;-269;138;1
142;-238;125;177;-317;152;1
162;-299;157;120;-141;30;1
178;-228;64;18;-146;134;1
-23;-82;128;359;-254;-94;1
228;-361;171;98;-261;178;1
125;-223;113;135;-174;45;1
24;-154;144;258;-99;-153;1
210;-259;63;-65;-12;83;1
307;-386;113;-120;-39;173;1
129;-216;123;217;-392;190;1
213;-315;133;78;-254;189;1
291;-322;75;-52;-294;364;1
356;-386;72;-212;-33;264;1
223;-365;174;83;-195;125;1
349;-379;85;-118;-261;402;1
115;-275;178;175;-86;-82;1
12;-24;26;226;-274;54;1
126;-203;105;185;-342;168;1
448;-398;32;-275;-262;572;1
19;-113;116;308;-289;-9;1
165;-225;78;69;-212;150;1
168;-196;37;-24;-61;89;0
16;-108;101;211;-50;-157;0
406;-350;30;-189;-393;618;0
-85;-4;108;352;-78;-264;0
201;-256;75;15;-185;178;0
403;-368;35;-217;-279;527;0
31;-158;152;324;-281;-32;0
-111;-13;157;464;-160;-287;0
16;-70;59;175;-62;-111;0
-27;-52;94;305;-182;-116;0
-12;-53;73;226;-72;-151;0
83;-154;84;173;-218;50;0
93;-102;15;75;-153;80;0
248;-378;175;92;-301;228;0
145;-247;115;87;-100;18;0
171;-295;158;170;-307;151;0
110;-116;29;134;-339;215;0
32;-76;49;162;-103;-56;0
181;-296;134;75;-140;73;0
321;-300;15;-191;-137;344;0
90;-95;11;76;-156;82;0
-22;-62;107;349;-282;-56;0
141;-161;48;120;-357;248;0
240;-272;55;-54;-168;232;0
174;-320;167;106;-119;21;0
