-85;134;16;0;-36;-11;0;-13;0;55;8;12;0;-18;-94;0;-57;0;1
96;57;88;0;-5;-137;0;-91;0;169;96;88;0;-146;-132;0;-108;0;1
-104;116;128;0;-13;-48;0;-69;0;148;71;76;0;-72;-140;0;-108;0;1
6;138;28;0;-8;-119;0;-36;0;154;82;78;0;-116;-134;0;-101;0;1
76;112;1;0;-80;-27;0;-81;0;23;11;-4;0;-68;-29;0;-51;0;1
90;124;142;0;-76;-147;0;-125;0;116;62;50;0;-119;-82;0;-74;0;1
-114;120;165;0;-49;-48;0;-64;0;76;3;-2;0;-69;-52;0;-8;0;1
203;88;35;0;-142;-104;0;-76;0;56;33;11;0;-82;-18;0;-79;0;1
14;96;79;0;-63;-40;0;-84;0;15;13;6;0;-19;-47;0;-87;0;1
89;39;175;0;-79;-84;0;-134;0;110;49;65;0;-65;-139;0;-73;0;1
49;145;45;0;-137;-21;0;-77;0;47;17;1;0;-64;-56;0;-46;0;1
-122;148;98;0;-5;-63;0;-48;0;23;-2;-18;0;-31;0;0;-48;0;1
129;80;13;0;-144;-39;0;-35;0;79;31;-3;0;-149;-17;0;-31;0;1
344;36;13;0;-145;-110;0;-125;0;156;56;64;0;-54;-115;0;-66;0;1
20;40;172;0;-35;-102;0;-90;0;22;26;24;0;-28;-32;0;-104;0;1
61;1;162;0;-57;-121;0;-38;0;105;47;68;0;-38;-145;0;-94;0;1
-61;175;137;0;-150;-3;0;-84;0;111;25;32;0;-25;-142;0;-25;0;1
230;24;72;0;-91;-97;0;-129;0;155;77;72;0;-111;-127;0;-79;0;1
78;129;182;0;-145;-129;0;-103;0;116;93;88;0;-66;-91;0;-148;0;1
-46;148;9;0;-11;-39;0;-58;0;43;2;-23;0;-110;-12;0;-3;0;1
221;74;8;0;-145;-67;0;-86;0;95;17;21;0;-72;-104;0;-19;0;1
-114;62;120;0;-19;-10;0;-32;0;94;21;28;0;-47;-110;0;-60;0;1
5;181;126;0;-146;-109;0;-43;0;96;34;31;0;-43;-102;0;-44;0;1
