-70;179;-50;-46;-4;178;-62;-44;-42;-31;243800;229412;217538;216309;219476;0;16430;2686;3479;12775;1
-102;159;-8;-3;-37;190;-51;-44;-70;-25;243800;229282;217433;215219;218370;0;18163;14313;15295;11101;1
-40;154;-4;-37;-63;174;-2;-52;-79;-38;243800;229715;212997;210005;212008;0;11452;6252;5397;-798;1
-53;195;-65;-18;-45;183;34;-45;-61;-95;243800;229539;211496;209065;200248;0;14555;2062;4150;7243;1
-2;147;-57;-62;-17;153;-28;-56;-5;-65;243800;229833;217390;217211;212203;0;8761;-6287;-6813;4020;1
-52;175;-29;-56;-31;164;-80;-36;-31;-23;243800;229583;220897;219497;220632;0;13846;1009;352;4522;1
15;86;-13;-75;-6;150;-25;-68;-34;-30;243800;229936;215570;214610;219350;0;5411;-2269;-4478;2588;1
2;35;-5;-27;-2;135;-72;-12;-52;-18;243800;229940;225234;222718;224727;0;5255;2221;2193;4689;1
-9;175;-83;-48;-27;153;-89;-56;-8;-4;243800;229778;218591;219460;224587;0;10109;-8231;-7747;-912;1
-109;183;-14;-29;-18;195;-6;-25;-70;-84;243800;229135;216611;212904;205862;0;19933;12200;13071;17925;1
-57;195;-67;-41;-20;176;-46;-35;-51;-41;243800;229482;216341;214576;215938;0;15424;-463;1002;8795;1
-60;197;-11;-60;-56;174;-43;-16;-82;-31;243800;229528;217426;213179;215057;0;14722;3667;2835;1482;1
-53;185;-83;-11;-27;184;-26;-99;-17;-37;243800;229522;210943;212893;215768;0;14819;1476;3378;7609;1
40;64;-3;-92;-4;119;-74;-10;-9;-41;243800;229988;226720;224439;220732;0;2356;-8309;-11038;-475;1
-66;191;-47;-37;-31;182;-50;-49;-63;-18;243800;229450;214732;213030;219376;0;15900;3501;4329;6842;1
-46;191;-97;-12;-25;177;-13;-70;-16;-71;243800;229554;213363;214166;209084;0;14320;-1810;810;8686;1
31;31;-16;-27;-10;155;51;-66;-89;-50;243800;229988;209501;206860;212313;0;2307;2485;2546;3333;1
-38;192;-43;-62;-40;152;-70;-8;-6;-69;243800;229640;224836;222926;211676;0;12871;-4273;-4718;3150;1
2;90;-14;-21;-51;143;-46;-11;-76;-22;243800;229922;221232;217716;218853;0;5976;1212;1437;-4084;1
25;104;-58;-21;-44;133;-55;-24;-26;-40;243800;229956;222357;221244;216947;0;4517;-6731;-5843;-4920;1
29;154;-78;-50;-47;129;-71;-6;-11;-46;243800;229934;223646;222304;215799;0;5496;-13495;-12965;-6737;1
31;89;-14;-67;-32;137;-15;-35;-35;-60;243800;229974;219187;216828;212146;0;3450;-4984;-6780;-2426;1
60;6;-2;-57;0;136;21;-40;-85;-39;243800;229998;214487;210885;216699;0;-1065;-2298;-3540;405;1
-90;186;-52;-4;-30;189;-57;-80;-20;-31;243800;229279;215931;216935;218131;0;18197;8165;9749;10978;1
-27;123;-14;-13;-62;160;-42;-45;-63;-17;243800;229806;217884;215912;218422;0;9434;5120;5165;-3043;1
13;113;-66;-4;-47;157;7;-80;-35;-50;243800;229923;212200;212605;211625;0;5945;-2133;-761;-2438;1
17;103;-25;-79;-9;147;-47;-52;-42;-14;243800;229930;216805;215314;222540;0;5687;-4915;-6709;488;1
12;134;-4;-98;-37;145;-59;-59;-18;-16;243800;229914;218450;217366;220871;0;6282;-5196;-8871;-4963;1
65;54;-69;-17;-26;124;-5;-19;-40;-68;243800;230000;219838;218022;211319;0;-265;-9957;-8302;-3587;1
-2;146;-42;-22;-72;155;-43;-65;-39;-12;243800;229874;215949;215606;218322;0;7612;-1439;-1551;-8590;1
66;3;-19;-40;-5;125;-17;-12;-86;-23;243800;229994;219318;215470;221143;0;-1698;-4904;-4868;-2436;1
-57;184;-79;-35;-4;169;-63;-18;-40;-48;243800;229481;219901;218199;216692;0;15441;-1839;416;12043;1
-15;111;-11;-64;-12;161;4;-78;-9;-79;243800;229829;215474;215207;208717;0;8864;1457;-544;7804;1
-32;137;-22;-32;-43;158;-21;-50;-13;-78;243800;229753;219817;218933;208109;0;10652;2532;2045;3776;1
-5;120;-36;-19;-50;166;18;-55;-86;-40;243800;229873;210814;208196;211961;0;7630;2004;2807;-1451;1
15;94;-10;-50;-44;140;-65;-65;-11;-12;243800;229949;220544;220616;222268;0;4851;-1980;-4125;-5873;1
-29;136;-32;-17;-48;172;11;-90;-28;-63;243800;229765;212143;212420;208704;0;10402;4512;4513;2554;1
-69;159;-57;-17;-7;171;-50;-34;-19;-70;243800;229457;221147;220311;212548;0;15792;3669;5562;14463;1
-76;155;-19;-36;-17;167;-88;-9;-49;-29;243800;229450;224088;221411;220933;0;15895;6184;6614;10873;1
39;93;-84;-19;-23;135;-35;-38;-26;-45;243800;229975;218803;218463;216521;0;3358;-9501;-7739;-2045;1
37;0;-2;-22;-9;134;-34;-66;-36;-14;243800;229998;219392;219043;223848;0;838;1650;699;-263;1
-22;136;-10;-72;-25;161;-67;-79;-21;-1;243800;229786;216760;216882;224467;0;9930;672;-1846;1110;1
-65;114;-21;-17;-5;169;-90;-72;-12;-6;243800;229574;220869;221859;226337;0;13990;8284;8474;11315;1
-81;143;-24;-20;-10;172;-43;-11;-49;-72;243800;229430;222321;219380;211582;0;16181;8218;9527;15476;1
-86;193;-22;-19;-57;181;-58;-42;-46;-35;243800;229357;218989;217341;215664;0;17180;8381;8785;5030;1
-43;122;-4;-39;-27;176;-8;-66;-70;-33;243800;229707;212667;210646;215920;0;11608;7654;6896;6449;1
-73;164;-29;-43;-9;183;-14;-26;-79;-60;243800;229437;215397;211730;211532;0;16086;6234;7053;14241;1
-57;137;-68;-1;-2;180;-40;-54;-71;-16;243800;229556;213830;212708;221451;0;14281;4926;7933;12425;1
